"","fips","Total_water_use","heads","lb","COMMODITY_DESC","CLASS_DESC","UNIT_DESC","SHORT_DESC","STATE_FIPS_CODE","STATE_ALPHA","STATE_NAME","COUNTY_CODE","COUNTY_NAME"
"99","35021",23693.2915618288,15294,11582465.58,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","35","NM","NEW MEXICO","021","HARDING"
"100","35023",16190.3659404725,15275,7914660.39,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","35","NM","NEW MEXICO","023","HIDALGO"
"101","35025",74769.5508438171,63425,36551094.93,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","35","NM","NEW MEXICO","025","LEA"
"102","35027",25195.5770481743,18094,12316857.84,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","35","NM","NEW MEXICO","027","LINCOLN"
"103","35029",23148.2942006751,16280,11316043.62,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","35","NM","NEW MEXICO","029","LUNA"
"104","35031",10688.088861614,8756,5224872.24,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","35","NM","NEW MEXICO","031","MCKINLEY"
"105","35033",24986.2355937404,15347,12214521.27,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","35","NM","NEW MEXICO","033","MORA"
"106","35035",12711.9720773243,10301,6214247.55,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","35","NM","NEW MEXICO","035","OTERO"
"107","35037",58028.9294875729,36314,28367442.18,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","35","NM","NEW MEXICO","037","QUAY"
"108","35039",14473.0737035901,11706,7075162.08,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","35","NM","NEW MEXICO","039","RIO ARRIBA"
"109","35041",77024.3979748389,66455,37653376.95,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","35","NM","NEW MEXICO","041","ROOSEVELT"
