"","SECTOR_DESC","SHORT_DESC","COMMODITY_DESC","AGG_LEVEL_DESC","STATE_FIPS_CODE","STATE_ALPHA","STATE_NAME","COUNTY_CODE","COUNTY_NAME","To_acres","fips","crop","Ir_acres","Pct_irr"
"134","CROPS","WHEAT - ACRES HARVESTED","WHEAT","COUNTY",8,"CO","COLORADO","023","COSTILLA",1881,"08023","WHEAT",1881,100
"135","CROPS","WHEAT - ACRES HARVESTED","WHEAT","COUNTY",32,"NV","NEVADA","027","PERSHING",2938,"32027","WHEAT",2938,100
"136","CROPS","WHEAT - ACRES HARVESTED","WHEAT","COUNTY",4,"AZ","ARIZONA","027","YUMA",50313,"04027","WHEAT",50313,100
"137","CROPS","WHEAT - ACRES HARVESTED","WHEAT","COUNTY",6,"CA","CALIFORNIA","029","KERN",11722,"06029","WHEAT",8200,69.95
"138","CROPS","WHEAT - ACRES HARVESTED","WHEAT","COUNTY",6,"CA","CALIFORNIA","031","KINGS",21188,"06031","WHEAT",15674,73.98
"139","CROPS","WHEAT - ACRES HARVESTED","WHEAT","COUNTY",35,"NM","NEW MEXICO","029","LUNA",228,"35029","WHEAT",228,100
"140","CROPS","WHEAT - ACRES HARVESTED","WHEAT","COUNTY",49,"UT","UTAH","035","SALT LAKE",2889,"49035","WHEAT",914,31.64
"141","CROPS","WHEAT - ACRES HARVESTED","WHEAT","COUNTY",6,"CA","CALIFORNIA","039","MADERA",3500,"06039","WHEAT",584,16.69
"142","CROPS","WHEAT - ACRES HARVESTED","WHEAT","COUNTY",49,"UT","UTAH","039","SANPETE",885,"49039","WHEAT",597,67.46
"143","CROPS","WHEAT - ACRES HARVESTED","WHEAT","COUNTY",35,"NM","NEW MEXICO","037","QUAY",21513,"35037","WHEAT",184,0.86
"144","CROPS","WHEAT - ACRES HARVESTED","WHEAT","COUNTY",35,"NM","NEW MEXICO","041","ROOSEVELT",35199,"35041","WHEAT",1939,5.51
"145","CROPS","WHEAT - ACRES HARVESTED","WHEAT","COUNTY",49,"UT","UTAH","045","TOOELE",776,"49045","WHEAT",648,83.51
"146","CROPS","WHEAT - ACRES HARVESTED","WHEAT","COUNTY",6,"CA","CALIFORNIA","047","MERCED",11379,"06047","WHEAT",9686,85.12
"147","CROPS","WHEAT - ACRES HARVESTED","WHEAT","COUNTY",6,"CA","CALIFORNIA","049","MODOC",8090,"06049","WHEAT",5441,67.26
